cityname,nameNoHtml,price_str,showtime,venue
大连,MY Beautiful Live 杨千嬅世界巡回演唱会-大连站,380-1280,2019.08.31 周六 19:30,大连体育中心体育馆
惠州,MY BEAUTIFUL LIVE 杨千嬅世界巡回演唱会-惠州站,280-1280,2019.08.24 周六 20:00,惠州奥林匹克体育场
南宁,MY BEAUTIFUL LIVE杨千嬅世界巡回演唱会-南宁站,398-998,2019.11.02 周六 20:00,广西体育中心体育场
南京,MY BEAUTIFUL LIVE 杨千嬅世界巡回演唱会-南京站,280-1280,2019.08.17 周六 19:30,南京青奥体育公园体育馆
杭州,MY BEAUTIFUL LIVE 杨千嬅世界巡回演唱会-杭州站,499-1499,2019.08.10 周六,黄龙体育中心(体育馆)
